00000;IC-A-01;[vide]
00001;IC-A-02;Vous êtes dans la zone de danger, quittez immédiatement la zone. Écoutez la radio ou les médias pour obtenir des instructions et des informations.
00010;IC-A-03;Vous êtes dans la zone de danger, quittez immédiatement la zone et rejoignez le point d'évacuation indiqué par la zone tracée en jaune. Écoutez la radio ou les médias pour obtenir des instructions et des informations.
00011;IC-A-04;Cherchez immédiatement un abri dans un bâtiment. Restez à couvert et informez-vous.
00100;IC-A-05;Recherchez une cave ou des pièces intérieures aux étages inférieurs.
00101;IC-A-06;Si vous êtes en terrain alpin, commencez immédiatement à descendre et cherchez un abri.
00110;IC-A-07;Déplacez-vous rapidement vers des pièces intérieures. Si vous êtes dans un véhicule : arrêtez-vous immédiatement sur le bord de la route. Si un bâtiment est à proximité, cherchez refuge à l'intérieur.
00111;IC-A-08;Si vous êtes en terrain découvert et ne trouvez pas d'abri, allongez-vous face contre terre et protégez votre tête et votre cou avec vos mains, dans un creux si possible.
01000;IC-A-09;Préparez-vous à évacuer. N'emportez que l'essentiel avec vous, en particulier cartes d'identité, passeport, cartes de crédit et argent liquide. Évacuez uniquement sur instruction des autorités d'urgence.
01001;IC-A-10;Préparez de la nourriture d'urgence et du matériel de secours : vérifiez et réapprovisionnez votre équipement et vos réserves d'eau, de nourriture, de médicaments, d'argent liquide et de batteries.
01010;IC-A-11;Restez à l'écart des surfaces vitrées comme les fenêtres et les portes en verre. Il y a un risque de blessure par éclats de verre.
01011;IC-A-12;Réduisez votre consommation d'électricité au minimum.
01100;IC-A-13;Réduisez votre consommation d'eau au minimum.
01101;IC-A-14;Faites bouillir l'eau avant de la boire ou de l'utiliser en cuisine.
01110;IC-A-15;Gardez au moins un mètre de distance avec vos interlocuteurs. Évitez tout contact physique avec d'autres personnes, comme les baisers et les poignées de main. Lavez-vous régulièrement et soigneusement les mains.
01111;IC-A-16;Ne buvez pas d'eau du robinet. Évitez tout contact cutané avec l'eau du robinet. Ne buvez que de l'eau minérale en bouteille. Coupez l'alimentation en eau de votre domicile.
10000;IC-A-17;Attention aux fuites de gaz. Elles peuvent être signalées par des sifflements ou une odeur caractéristique. N'utilisez ni allumettes, ni briquets, ni flammes nues : les flammes nues combinées au gaz peuvent provoquer des explosions et des incendies.
10001;IC-A-18;Ne sortez pas et n'utilisez pas votre voiture.
10010;IC-A-19;Ne touchez aucun objet qui vous semble suspect. Les débris peuvent représenter des dangers supplémentaires, comme des incendies et des explosions. Informez les services d'urgence des dégâts et des débris.
10011;IC-A-20;N'entrez pas dans les pièces remplies de fumée. Des gaz mortels peuvent s'y former.
10100;IC-A-21;N'entrez pas dans les caves ni les parkings souterrains.
10101;IC-A-22;Ne laissez pas vos animaux de compagnie ou votre bétail à l'extérieur.
10110;IC-A-23;Ne touchez pas aux animaux morts. Signalez toute découverte d'animaux sauvages morts aux autorités.
10111;IC-A-24;Évitez de conduire.
11000;IC-A-25;Évitez tout objet comportant des parties métalliques, comme les parapluies et les bicyclettes. Ne prenez pas de bain ni de douche pendant un orage. Se baigner ou se doucher peut être mortel.
11001;IC-A-26;Évitez les pièces situées directement sous la charpente du toit. Évitez les très grandes pièces, comme les halls, dont le plafond n'est pas soutenu par des piliers.
11010;IC-A-27;Évitez de sortir. Restez à l'écart des arbres, des tours et des mâts. Restez à au moins 20 m des lignes électriques. Attention aux objets volants et aux chutes d'objets.
11011;IC-A-28;Évitez la zone de danger.
11100;IC-A-29;Évitez de sortir si ce n'est pas nécessaire.
11101;IC-A-30;Ceci est un test. Vous n'avez aucune action à entreprendre ni aucun comportement spécifique à adopter.
11110;IC-A-31;Ceci remplace l'alerte précédemment en vigueur pour cette zone.
11111;IC-A-32;Les conditions se sont améliorées et ne devraient plus répondre aux critères d'alerte.
